id,user_id,sport,sport_class,sport_source,is_pumpfoil
1277,95,pumpfoil,pumpfoil,default,True
1278,95,pumpfoil,pumpfoil,default,True
1279,95,pumpfoil,pumpfoil,default,True
1280,95,pumpfoil,pumpfoil,default,True
1281,95,pumpfoil,pumpfoil,default,True
1282,95,pumpfoil,pumpfoil,default,True
1283,95,pumpfoil,pumpfoil,default,True
1284,95,pumpfoil,pumpfoil,default,True
1285,95,pumpfoil,pumpfoil,default,True
1286,95,pumpfoil,pumpfoil,default,True
1287,95,pumpfoil,pumpfoil,default,True
1288,95,pumpfoil,pumpfoil,default,True
1289,95,pumpfoil,pumpfoil,default,True
1290,128,open_water,pumpfoil,default,True
1296,17,pumpfoil,pumpfoil,default,True
1307,95,pumpfoil,pumpfoil,default,True
1309,159,pumpfoil,pumpfoil,default,False
1325,95,pumpfoil,pumpfoil,default,True
1336,95,pumpfoil,pumpfoil,default,True
1354,70,pumpfoil,pumpfoil,default,True
1363,70,pumpfoil,pumpfoil,default,True
1375,142,open_water,pumpfoil,default,True
1376,142,generic,pumpfoil,default,True
1377,142,open_water,pumpfoil,default,True
1378,142,open_water,pumpfoil,default,True
1379,142,open_water,pumpfoil,default,True
1381,142,open_water,pumpfoil,default,True
1382,95,pumpfoil,pumpfoil,default,True
1397,70,pumpfoil,pumpfoil,default,True
1412,17,pumpfoil,pumpfoil,default,True
1413,87,pumpfoil,pumpfoil,default,True
1423,180,pumpfoil,pumpfoil,default,True
1424,180,pumpfoil,pumpfoil,default,True
1447,95,pumpfoil,pumpfoil,auto,False
1455,192,pumpfoil,pumpfoil,default,True
1456,192,pumpfoil,pumpfoil,default,True
1460,17,pumpfoil,wingfoil,owner,True
1471,180,pumpfoil,pumpfoil,default,True
1482,198,pumpfoil,pumpfoil,default,True
1550,95,pumpfoil,pumpfoil,default,True
1551,128,generic,pumpfoil,default,True
1552,128,generic,pumpfoil,default,True
1559,192,pumpfoil,pumpfoil,default,True
1576,198,pumpfoil,pumpfoil,default,True
1601,17,pumpfoil,wingfoil,owner,True
1661,95,pumpfoil,pumpfoil,default,True
1665,192,pumpfoil,pumpfoil,default,True
1666,214,open_water,pumpfoil,owner,True
1667,28,pumpfoil,pumpfoil,default,True
1669,214,generic,pumpfoil,default,True
1671,214,stand_up_paddleboarding,pumpfoil,default,True
1672,214,open_water,pumpfoil,default,True
1673,128,generic,pumpfoil,default,True
1674,128,generic,pumpfoil,default,True
1684,198,pumpfoil,pumpfoil,default,True
1694,139,surfing,pumpfoil,default,True
1695,159,pumpfoil,pumpfoil,default,False
1718,87,pumpfoil,pumpfoil,default,True
1736,28,pumpfoil,pumpfoil,default,True
1738,237,generic,wakethief,default,True
1740,237,generic,wakethief,default,True
1762,226,open_water,pumpfoil,default,True
1769,95,pumpfoil,pumpfoil,default,True
1777,70,pumpfoil,pumpfoil,default,True
1781,95,pumpfoil,pumpfoil,default,True
1785,226,open_water,pumpfoil,default,True
1790,128,generic,pumpfoil,default,True
1800,70,pumpfoil,pumpfoil,default,True
1812,95,pumpfoil,pumpfoil,default,True
1839,214,generic,pumpfoil,default,True
1860,198,pumpfoil,pumpfoil,default,True
1861,198,pumpfoil,pumpfoil,default,True
1862,95,pumpfoil,pumpfoil,default,True
1874,214,open_water,pumpfoil,default,True
1885,70,pumpfoil,pumpfoil,default,True
1887,258,pumpfoil,pumpfoil,default,True
1888,258,pumpfoil,pumpfoil,default,True
1889,258,pumpfoil,pumpfoil,default,True
1890,258,pumpfoil,pumpfoil,default,True
1891,258,pumpfoil,pumpfoil,default,True
1892,258,pumpfoil,pumpfoil,default,True
1893,258,pumpfoil,pumpfoil,default,True
1895,258,pumpfoil,pumpfoil,default,True
1896,258,pumpfoil,pumpfoil,default,True
1897,258,pumpfoil,pumpfoil,default,True
1898,258,pumpfoil,pumpfoil,default,True
1905,95,pumpfoil,pumpfoil,default,True
1920,214,generic,pumpfoil,default,True
1922,258,pumpfoil,pumpfoil,default,True
1940,95,pumpfoil,pumpfoil,default,True
1941,70,pumpfoil,pumpfoil,default,True
1950,180,pumpfoil,pumpfoil,default,True
1952,226,open_water,pumpfoil,default,True
1953,226,open_water,pumpfoil,default,True
1954,198,pumpfoil,pumpfoil,owner,True
1955,139,open_water,pumpfoil,default,True
1961,248,pumpfoil,pumpfoil,default,True
1962,192,pumpfoil,pumpfoil,default,True
1965,214,generic,pumpfoil,default,True
1971,87,pumpfoil,pumpfoil,default,True
1972,192,pumpfoil,pumpfoil,default,True
1973,70,pumpfoil,pumpfoil,default,True
1990,198,pumpfoil,pumpfoil,default,True
1995,95,pumpfoil,pumpfoil,default,True
2002,248,pumpfoil,pumpfoil,default,True
2015,216,open_water,pumpfoil,owner,True
2027,87,pumpfoil,pumpfoil,default,True
2029,264,open_water,pumpfoil,default,True
2030,264,open_water,pumpfoil,default,True
2038,180,pumpfoil,pumpfoil,default,True
2049,95,pumpfoil,pumpfoil,default,True
2052,248,pumpfoil,pumpfoil,default,True
2053,214,generic,pumpfoil,default,True
2054,274,pumpfoil,pumpfoil,default,True
2064,276,pumpfoil,pumpfoil,default,True
2065,276,pumpfoil,pumpfoil,default,True
2066,276,pumpfoil,pumpfoil,default,False
2067,276,pumpfoil,pumpfoil,default,True
2068,276,pumpfoil,pumpfoil,default,False
2071,276,pumpfoil,pumpfoil,default,False
2072,276,pumpfoil,pumpfoil,default,False
2073,276,pumpfoil,pumpfoil,default,False
2074,276,pumpfoil,pumpfoil,default,False
2076,276,pumpfoil,pumpfoil,default,False
2077,276,pumpfoil,pumpfoil,default,False
2079,276,pumpfoil,pumpfoil,default,False
2080,276,pumpfoil,pumpfoil,default,True
2081,276,pumpfoil,pumpfoil,default,True
2082,276,pumpfoil,pumpfoil,default,False
2083,276,pumpfoil,pumpfoil,default,False
2084,276,pumpfoil,pumpfoil,default,False
2085,276,pumpfoil,pumpfoil,default,False
2086,276,pumpfoil,pumpfoil,default,False
2087,276,pumpfoil,pumpfoil,default,False
2088,276,pumpfoil,pumpfoil,default,False
2089,276,pumpfoil,pumpfoil,default,False
2090,276,pumpfoil,pumpfoil,default,False
2092,276,pumpfoil,pumpfoil,default,False
2093,276,pumpfoil,pumpfoil,default,False
2094,276,pumpfoil,pumpfoil,default,False
2095,276,pumpfoil,pumpfoil,default,False
2101,226,open_water,pumpfoil,default,True
2109,226,open_water,pumpfoil,default,True
2111,95,pumpfoil,pumpfoil,default,True
2116,17,pumpfoil,pumpfoil,default,True
2131,139,pumpfoil,pumpfoil,default,True
2137,280,training,pumpfoil,default,False
2144,214,generic,pumpfoil,default,True
2156,158,pumpfoil,pumpfoil,default,True
2157,158,pumpfoil,pumpfoil,default,True
2190,278,pumpfoil,pumpfoil,default,True
2191,278,pumpfoil,pumpfoil,default,True
2194,198,pumpfoil,pumpfoil,default,True
2195,198,pumpfoil,pumpfoil,default,True
2204,286,pumpfoil,pumpfoil,default,True
2205,286,pumpfoil,pumpfoil,default,True
2215,286,pumpfoil,pumpfoil,default,True
2226,286,pumpfoil,pumpfoil,default,True
2259,226,open_water,pumpfoil,default,True
2271,277,pumpfoil,pumpfoil,default,True
2272,277,pumpfoil,pumpfoil,default,True
2273,277,pumpfoil,pumpfoil,default,True
2274,277,pumpfoil,pumpfoil,default,True
2287,248,pumpfoil,pumpfoil,default,True
2299,142,pumpfoil,pumpfoil,default,True
2300,142,pumpfoil,pumpfoil,default,True
2307,87,pumpfoil,pumpfoil,default,True
2308,258,pumpfoil,pumpfoil,default,True
2315,248,pumpfoil,pumpfoil,default,True
2320,95,pumpfoil,pumpfoil,default,False
2321,95,pumpfoil,pumpfoil,default,False
2353,198,pumpfoil,pumpfoil,default,True
2370,248,pumpfoil,pumpfoil,default,True
2375,140,pumpfoil,pumpfoil,default,False
2376,140,pumpfoil,pumpfoil,default,False
2377,140,pumpfoil,pumpfoil,default,False
2378,140,pumpfoil,pumpfoil,default,False
2379,140,pumpfoil,pumpfoil,default,False
2380,140,pumpfoil,pumpfoil,default,False
2381,140,pumpfoil,pumpfoil,auto,True
2382,140,pumpfoil,pumpfoil,default,False
2383,140,pumpfoil,pumpfoil,default,False
2384,140,pumpfoil,pumpfoil,default,False
2385,140,pumpfoil,pumpfoil,auto,True
2386,140,pumpfoil,pumpfoil,auto,True
2387,140,pumpfoil,pumpfoil,default,False
2388,140,pumpfoil,pumpfoil,default,False
2389,140,pumpfoil,pumpfoil,default,False
2390,140,pumpfoil,pumpfoil,default,False
2391,140,pumpfoil,pumpfoil,default,False
2392,140,pumpfoil,pumpfoil,default,False
2393,140,pumpfoil,pumpfoil,default,False
2394,140,pumpfoil,pumpfoil,default,False
2395,140,pumpfoil,pumpfoil,default,False
2396,140,pumpfoil,pumpfoil,default,False
2397,140,pumpfoil,pumpfoil,default,False
2398,140,pumpfoil,pumpfoil,default,False
2399,140,pumpfoil,pumpfoil,default,False
2400,140,pumpfoil,pumpfoil,default,False
2401,140,pumpfoil,pumpfoil,default,False
2402,140,pumpfoil,pumpfoil,default,False
2403,140,pumpfoil,pumpfoil,default,False
